drug_a_name,drug_a_rxcui,drug_b_name,drug_b_rxcui,interaction_text,severity,sources,drug_a,drug_b,description,mechanism
Warf 5 Tablet,855332,Aztogold 20 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Aztogold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Aspisol 75 Tablet,29343,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Aspisol 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atorva Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atorva Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Aztogold 10 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Aztogold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atorva Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atorva Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atormac Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atormac Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atorlip Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atorlip Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atormac Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atormac Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Aspisol 150 Tablet,29343,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Aspisol 150 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Arreno Capsule ER,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Arreno Capsule ER,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atorlip Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atorlip Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Atorsave Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Atorsave Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Ecosprin 75 Tablet,202544,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Ecosprin 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Ecosprin Gold  20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Ecosprin Gold  20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Ecosprin 150 Tablet,202544,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Ecosprin 150 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Ecosprin Gold  10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Ecosprin Gold  10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Ecosprin 325 Tablet,202544,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Ecosprin 325 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
